Device: cuda
============================================================
Grokking Baseline — probe run
P=97, seed=42, train_frac=0.4
Arch: d_model=128, n_heads=4, mlp_hidden=512
Optim: AdamW, LR=0.001, WD=0.001, BS=512
Max steps: 100000
============================================================
Train size: 3763, Val size: 5646

Sanity — init val CE: 4.7514  (expected ~4.5747)
Sanity — init weight norm: 117.4293
step=   500 | tr_acc=1.000 tr_loss=0.0602 | val_acc=0.001 val_loss=9.6253 | wnorm=119.796 | 4s
step=  1000 | tr_acc=1.000 tr_loss=0.0002 | val_acc=0.002 val_loss=13.0107 | wnorm=120.591 | 7s
step=  1500 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.002 val_loss=16.1462 | wnorm=121.338 | 10s
step=  2000 | tr_acc=1.000 tr_loss=0.0001 | val_acc=0.000 val_loss=16.7882 | wnorm=122.085 | 13s
step=  2500 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.001 val_loss=17.3527 | wnorm=122.172 | 16s
step=  3000 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.001 val_loss=18.1490 | wnorm=122.406 | 19s
step=  3500 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.001 val_loss=16.2361 | wnorm=122.630 | 22s
step=  4000 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.001 val_loss=15.5464 | wnorm=123.181 | 25s
step=  4500 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.002 val_loss=14.9044 | wnorm=124.071 | 28s
step=  5000 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.002 val_loss=14.7264 | wnorm=125.358 | 31s
step=  5500 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.002 val_loss=14.2812 | wnorm=127.120 | 34s
step=  6000 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.002 val_loss=14.1773 | wnorm=129.451 | 37s
step=  6500 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.003 val_loss=14.0540 | wnorm=132.445 | 40s
step=  7000 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.003 val_loss=13.9859 | wnorm=136.187 | 43s
step=  7500 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.003 val_loss=13.8419 | wnorm=140.769 | 47s
step=  8000 | tr_acc=0.998 tr_loss=0.0092 | val_acc=0.002 val_loss=23.3342 | wnorm=143.281 | 50s
step=  8500 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.001 val_loss=26.0299 | wnorm=143.460 | 53s
step=  9000 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.001 val_loss=26.1122 | wnorm=143.457 | 56s
step=  9500 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.002 val_loss=14.3482 | wnorm=145.001 | 59s
step= 10000 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.003 val_loss=13.3281 | wnorm=150.859 | 62s
step= 10500 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.002 val_loss=13.2239 | wnorm=158.016 | 65s
step= 11000 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.003 val_loss=13.1672 | wnorm=166.194 | 68s
step= 11500 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.003 val_loss=13.1898 | wnorm=175.315 | 71s
step= 12000 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.003 val_loss=13.1617 | wnorm=185.492 | 74s
step= 12500 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.002 val_loss=13.1137 | wnorm=196.567 | 77s
step= 13000 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.003 val_loss=13.0992 | wnorm=208.471 | 81s
step= 13500 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.003 val_loss=13.0604 | wnorm=221.216 | 84s
step= 14000 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.003 val_loss=13.0537 | wnorm=234.791 | 87s
step= 14500 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.003 val_loss=13.0537 | wnorm=249.070 | 90s
step= 15000 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.003 val_loss=22.4213 | wnorm=251.092 | 93s
step= 15500 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.003 val_loss=22.3253 | wnorm=251.017 | 96s
step= 16000 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.003 val_loss=14.2009 | wnorm=252.930 | 99s
step= 16500 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.004 val_loss=12.9316 | wnorm=266.697 | 102s
step= 17000 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.004 val_loss=12.8537 | wnorm=282.379 | 105s
step= 17500 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.004 val_loss=12.9267 | wnorm=298.747 | 109s
step= 18000 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.004 val_loss=12.9251 | wnorm=315.678 | 112s
step= 18500 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.004 val_loss=12.9087 | wnorm=332.899 | 115s
step= 19000 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.004 val_loss=12.8660 | wnorm=350.494 | 118s
step= 19500 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.004 val_loss=12.9300 | wnorm=368.575 | 121s
step= 20000 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.004 val_loss=12.9230 | wnorm=386.921 | 124s
step= 20500 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.005 val_loss=12.9946 | wnorm=405.684 | 127s
step= 21000 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.004 val_loss=12.9856 | wnorm=424.416 | 131s
step= 21500 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.005 val_loss=12.9811 | wnorm=443.438 | 134s
step= 22000 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.004 val_loss=12.9927 | wnorm=462.590 | 137s
step= 22500 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.004 val_loss=13.0047 | wnorm=482.117 | 140s
step= 23000 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.005 val_loss=13.0788 | wnorm=501.309 | 143s
step= 23500 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.005 val_loss=13.0581 | wnorm=520.872 | 146s
step= 24000 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.005 val_loss=13.0930 | wnorm=540.591 | 149s
step= 24500 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.005 val_loss=13.1407 | wnorm=560.173 | 153s
step= 25000 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.005 val_loss=13.2285 | wnorm=579.417 | 156s
step= 25500 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.006 val_loss=13.1573 | wnorm=598.659 | 159s
step= 26000 | tr_acc=0.998 tr_loss=0.0061 | val_acc=0.003 val_loss=32.7391 | wnorm=601.430 | 162s
step= 26500 | tr_acc=0.996 tr_loss=0.0180 | val_acc=0.002 val_loss=42.6787 | wnorm=601.216 | 165s
